Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
,0x02ead142d0ea347424138512df6c7e645a6690a6cb450372ac7c36ad6e0a0102,Swap Exact ETH F...,15194303,,1 min ago,0x7618998f814853ee5877a792f9e39f7fbbcdb11b,,0x327df1e6de05895d2ab08513aadd9313fe505d86,0.0004 ETH,0.00000033,
,0x440621c1503157e2751bdc3efba31e47da2915ff383b55f1682a17e84f6e58e3,0xbaf1639e,15194303,,1 min ago,0xdfff4c4749558ab0241d1b31871439b36e36333e,,0x36a358b3ba1fb368e35b71ea40c7f4ab89bfd8e1,0.000058791878046 ETH,0.00000062,
,0x7ab429baa5457ee90c6e811e514267294465352afda84ddd910f3f68b318551a,Swap Exact ETH F...,15194303,,1 min ago,0x64ba50316db12bd8aa6c4b7cc205cf428b55e034,,Uniswap: V2 Router02,0.0000003 ETH,0.00000043,
,0x8ce013f64f79742c1e31b4f71a641008c9e3a31ff8bdcef0147a34d31bca6528,Swap Exact ETH F...,15194303,,1 min ago,0x3b0898a68829c8c4787caaede208869f677e6ada,,Uniswap: V2 Router02,0.0000003 ETH,0.00000043,
,0x3d838930ce20563b8d06ee1e0dec42a0a572e8ad6e9b5958e9e7d3a0c1f8b67d,Swap Exact ETH F...,15194303,,1 min ago,0x02c9747059c7e531e890305641fa62bfdb5418a8,,Uniswap: V2 Router02,0.0000003 ETH,0.00000043,
,0x7556bffdc01476ee84e2d075902592b49d833ca5414ed422965980c7d71dbaa2,Swap Exact ETH F...,15194303,,1 min ago,0xb50e207d8ad833bf85c932062e38659e3dde0c49,,Uniswap: V2 Router02,0.0000003 ETH,0.00000043,
,0x42ab82072d650164ab64f20f35e1fb03cb329c0c87194238d3e508bf468bbfea,0xf78d880e,15194303,,1 min ago,0xef26a8b168dc6174fc9fedbe8514cf2b1849914e,,0x6814acc39d3fbfc0581c0bc8ab6942e8b6b0d43d,0 ETH,0.00000029,
,0xbb85ec5c3acdafc5a57b6bceb509b68978965511daeda149ce8415ba1681bf58,Swap Exact Token...,15194303,,1 min ago,0x8d06fb4045fefa144d086a3c2c7dca2bf0f011cc,,Uniswap: V2 Router02,0 ETH,0.00000038,
,0x3fede0136a5e4e60a20af1863387544abadff73385aa223d9f1eb20ef8e971b4,Fulfill Basic Or...,15194303,,1 min ago,0xdf074a8f209318e64d29223f9199555c2f1a81e1,,0x85f66c49dd72d90b33d88059512a46f5a49ece4a,0 ETH,0.00000064,
,0x3a3f50f76d0077721813d7139a8a0b6ed4fe364fc2fc9181479b1699ca88f5a3,Swap Tokens Gene...,15194303,,1 min ago,0x4b9b739537dd3f990002b969ec68f54c27e60b2d,,LI.FI: LiFi Diamond,0.0038 ETH,0.00000084,
,0x125c1d8851f4189b02122404cd1c249585adc83a274d3846f194f50a91c00d49,Swap Compact,15194303,,1 min ago,0xcc9a0f5fb0bd93f9424c14a6acfb6bec52d66b6f,,Odos:Router V2,0 ETH,0.0000005,
,0x7531f048de977f3caa74c7f6f1c73b0efd5742ec8738f38d83c72e6f5f385656,Transform ERC20,15194303,,1 min ago,0x119107bdcfe33b38da6061f8065c778c3218c032,,0x: Exchange Proxy,0 ETH,0.00000082,
,0x210f65b48ea8c7e745b3becb5a06ce9188b992dcc512212cd9b7767e70f6c9e7,Execute,15194303,,1 min ago,0x9e5dc97e961788f205b3a5a18f49a9d088b1bbf1,,Uniswap: Universal Router V1 2 V2Support,0.017986151034423 ETH,0.00000044,
,0x14f027fca9421441223a51caed925633c12735930ae2c7822f699fb86639ea25,Execute,15194303,,1 min ago,0x21816d8a413b49b9fd664c2bdb731d63f11d3202,,Uniswap: Universal Router V1 2 V2Support,0.000004066336373 ETH,0.00000047,
,0x7bda39eb9ef5881410587c9ffd8fdec828008e37d7cfb66d66f8345fbfd8cc35,Execute,15194303,,1 min ago,0x5215af234f0699a7b0b814e159429742594647b7,,Uniswap: Universal Router V1 2 V2Support,0.00496 ETH,0.00000051,
,0xc13a676744a605f96f9e452e4f3c4cd8ebbc76b04031a5f9a623b9349a1671a6,Approve,15194303,,1 min ago,0x0dda3228b0729bfe7698988a669b81d4a306a8ea,,0x762eb51d2e779eeec9b239ffb0b2ec8262848f3e,0 ETH,0.00000016,
,0xa7e8d465a091c2fa8b655a730cb6b5aa16ba1f57efe1cb7a9b7e7aabead4502e,Swap Exact Token...,15194303,,1 min ago,0xccdaebc4653ecd84aa8bed0ab1b181a3eefe98b4,,Uniswap: V2 Router02,0 ETH,0.00000054,
,0xfac8115ba209ddac8171f819ce9ce7ecefb2b520c1b5a39c61c829a12c4dab83,Swap Exact Token...,15194303,,1 min ago,0x8299c3ef64321c5880ddaf28ddf1f7b6d79781af,,Uniswap: V2 Router02,0 ETH,0.00000023,
,0xecdb953ebf6e556739e05359b19fc311ad4ac844388533e268c24c4d041b3383,Transfer,15194303,,1 min ago,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,,0x06009304fa10c72416d74db168f2084862510d13,0.0028 ETH,0.00000425,
,0x8202aa9c95a1319c5da42a1eea4be54c862ef4eee45422c6c7027b9daf6c5146,Transfer,15194303,,1 min ago,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,,0x505ca22d8771244c494ce280b435845a771279a7,0.0060834 ETH,0.00000425,
,0x6dc6f905e5eff2980869925e26a536d692a64f3ad3c4edf4b5d6fb60c6f2c517,0x440a5e20,15194303,,1 min ago,System Address,,0x4200000000000000000000000000000000000015,0 ETH,0,
